n_offset_hours,model,best_epoch,best_val_macro_auroc,train_examples,val_examples,test_examples,train_patients,val_patients,test_patients,split,macro_auroc,macro_auprc,micro_auroc,micro_auprc,pneumonia_auroc,pneumonia_auprc,pneumonia_prevalence,consolidation_auroc,consolidation_auprc,consolidation_prevalence,lung_opacity_auroc,lung_opacity_auprc,lung_opacity_prevalence,pneumothorax_auroc,pneumothorax_auprc,pneumothorax_prevalence,pleural_effusion_auroc,pleural_effusion_auprc,pleural_effusion_prevalence,pulmonary_edema_auroc,pulmonary_edema_auprc,pulmonary_edema_prevalence
0,single_mlp,8,0.6394705854451416,30459,6610,6571,14105,3041,3026,val,0.6394705854451416,0.641477261100228,0.6785794892886725,0.7277442358486957,0.5901190318222393,0.5185421550419236,0.44146341463414634,0.688928479119743,0.6277259797471194,0.453475935828877,0.6055907789294498,0.970955703201931,0.9574549635875814,0.6159643045218925,0.2039418849769595,0.12685240071132187,0.6762130187645529,0.7868895069435673,0.6590389016018307,0.6600078995129722,0.740808336689867,0.6146283916633897
0,single_mlp,8,0.6394705854451416,30459,6610,6571,14105,3041,3026,test,0.6219728743028324,0.6313715845773183,0.6759990884796743,0.7217627501786885,0.5826012031251652,0.5124513200556591,0.43867655447803766,0.6843962206136031,0.619692171060149,0.4332579185520362,0.5594329826211328,0.964105232283091,0.9570626003210273,0.5569003502429104,0.16169410906550802,0.12361516034985423,0.6749628728953572,0.7897447120370189,0.6700832799487508,0.6735436163188263,0.7405419629624844,0.6103000811030008
0,sequence_attention,6,0.6491458353824425,26673,5799,5781,14105,3041,3026,val,0.6491458353824425,0.6512758983822869,0.6772703628115755,0.7284349110692491,0.5846357070559778,0.5069938914209654,0.43767123287671234,0.734459831144914,0.6745209866721729,0.4393203883495146,0.6011564938044974,0.9674549427759832,0.9561211057481351,0.6041292927992792,0.20019133260238087,0.13502398903358465,0.695066743866436,0.809846737753798,0.6633999246136449,0.6754269436235508,0.7486474990684218,0.6102941176470589
0,sequence_attention,6,0.6491458353824425,26673,5799,5781,14105,3041,3026,test,0.6307422795567363,0.6423186544552661,0.668758944601511,0.7153740616156992,0.5944247680759867,0.5256160784739774,0.4418006430868167,0.7182237974554901,0.6459912092519218,0.42768079800498754,0.5276167392164621,0.9617238530797911,0.9572649572649573,0.5929631833887153,0.18401605023511702,0.12745762711864406,0.6758909539658202,0.7916869619146725,0.672471285661356,0.6753342352379436,0.7448777737761172,0.6085510688836104
0,latest_mlp,7,0.6381916180681935,26673,5799,5781,14105,3041,3026,val,0.6381916180681935,0.6380451516193366,0.6687951610076215,0.7234643321224957,0.5834662869625384,0.5032352481270778,0.43767123287671234,0.6941056181387673,0.6189807292486791,0.4393203883495146,0.6118770078017439,0.9701492387570745,0.9561211057481351,0.5968971980660783,0.1974200639116608,0.13502398903358465,0.6739069021683803,0.7940306991868161,0.6633999246136449,0.6688966952716526,0.7444549304847108,0.6102941176470589
0,latest_mlp,7,0.6381916180681935,26673,5799,5781,14105,3041,3026,test,0.6177664711828692,0.629480221825506,0.6623435026407595,0.714914800913407,0.5883097216911839,0.5200332979888899,0.4418006430868167,0.6780362938826324,0.6007287768267612,0.42768079800498754,0.5527305104867432,0.9638466730439936,0.9572649572649573,0.5521375787333234,0.16830639691864652,0.12745762711864406,0.668369420241078,0.7861649228294112,0.672471285661356,0.6670153020622542,0.7378012633453334,0.6085510688836104
2,single_mlp,9,0.6041379227242548,15494,3381,3369,8433,1811,1805,val,0.6041379227242548,0.6364301859252459,0.6489893947738954,0.685077281001377,0.5810349140314385,0.4738415310874845,0.4116161616161616,0.7014611055201461,0.7489997804774806,0.5778251599147122,0.5150693759951475,0.9691727682512133,0.9646017699115044,0.5558300339526017,0.19888330877433616,0.14585079631181894,0.6600013638843427,0.7641598742464794,0.6344206974128234,0.6114307429618524,0.6635238527144814,0.5880681818181818
2,single_mlp,9,0.6041379227242548,15494,3381,3369,8433,1811,1805,test,0.6187006582043787,0.6363722461300251,0.6598874225388501,0.6962939728295947,0.609817698774754,0.5140955103048703,0.41785714285714287,0.6774047869938281,0.7236301607523398,0.5461346633416458,0.5913791585988383,0.9668247338811746,0.9545091779728652,0.5675376519687897,0.1749919638228238,0.14138817480719795,0.6447412743422452,0.7648511005385663,0.655499720826354,0.6213233785478172,0.6738400074803762,0.5779269202087994
2,sequence_attention,9,0.6352567158758523,13411,2903,2918,8433,1811,1805,val,0.6352567158758523,0.6550977775598452,0.6674658601044243,0.6904525830917196,0.5808762719787134,0.4807478864035731,0.40294117647058825,0.7694625816172778,0.7991346272771748,0.5486284289276808,0.5873401873209255,0.9702351317881104,0.961100569259962,0.5675089445438284,0.22460137049172924,0.15354330708661418,0.6748603149609302,0.776789234528404,0.6367861885790173,0.6314919948334385,0.6790784148700797,0.5849701110162254
2,sequence_attention,9,0.6352567158758523,13411,2903,2918,8433,1811,1805,test,0.6182886046758561,0.6401091372404256,0.6566642283435833,0.6811451260357376,0.6133314808811497,0.5270217214489318,0.4131326949384405,0.689433962264151,0.7352600919348338,0.5571030640668524,0.5955830352993473,0.9679168547007242,0.9572727272727273,0.5523450980392157,0.18123310810650795,0.15,0.6379917066118848,0.7575813324449733,0.6603527106466361,0.6210463449593884,0.671641714806583,0.5736981465136805
2,latest_mlp,17,0.6129902573345088,13411,2903,2918,8433,1811,1805,val,0.6129902573345088,0.6413980344525919,0.6787365926639572,0.7049267334219826,0.6165411168242781,0.4935434989821145,0.40294117647058825,0.6993721747865393,0.7212058717559844,0.5486284289276808,0.522042713023379,0.9660214080007117,0.961100569259962,0.5408802921884317,0.21578959573536438,0.15354330708661418,0.6755418216339766,0.7753572854620138,0.6367861885790173,0.6235634255504492,0.6764705467793629,0.5849701110162254
